"SITE_ID","SITE_NAME","SOURCE","FLUXNET-CH4","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","IGBP","MAT","MAP","Climate","Climate Source","Notes1","Keep","START","END","Duration","SPRING","SUMMER","FALL","Notes2","min_dist_m","CRU_Aridity_P_PET","CRU_P_Annual_Mean_Total_mm","CRU_PET_Annual_Mean_Total_mm","PET","PPT","TC_aridity","Met_Var","Season","Slope","pvalue","Met_Var_Median","Npts","PearsonR","SpearmanR","RMSE","Slope_SE"
"CZ-RAJ","Rajec","ICOS-2020",NA,49.4437236,16.6965125,649,"ENF",7.1,681,"Cfb","Rubel","2012-2020, http://www.europe-fluxdata.eu/home/site-details?id=CZ-RAJ","Y",2012,2020,9,NA,NA,NA,"precip missing in 2020 but otherwise good",21886.8192,0.725666283,566.980009,781.3233466,680.9,615.1,0.903363195770304,"P_F_sum","Fall",0.627909334573528,0.00516897311132396,153.6655,8,0.868234887563788,0.857142857142857,13.0757451719957,0.146487321764351
"DE-HoH","Hohes Holz","ICOS-2020",NA,52.08656,11.22235,193,"DBF",9.1,563,"Cfb","ICOS",NA,"Y",2015,2020,6,NA,NA,NA,"precip missing in 2020",18271.30049,0.787610662,557.5233429,707.866678,695.1,597,0.858869227449288,"P_F_sum","Fall",1.07752895043037,0.0733991954239277,124.296,5,0.842260727141144,0.8,29.4562890384918,0.398168806493148
"DE-Hte","Huetelmoor","ICOS-2018",NA,54.210278,12.176111,1,"WET",9.2,645,"Cfb","Rubel","http://www.europe-fluxdata.eu/home/site-details?id=DE-Hte","Y",2009,2018,10,"c(2009, 2010, 2014)","c(2009)","c(2009)","2009 looks impossible compared to other years, some issues with QC labels?",6524.839023,0.875205255,584.5233428,667.8700106,597.2,608,1.01808439383791,"P_F_sum","Fall",-0.783601875464375,0.0371654948421375,106.561,7,-0.783423508185792,-0.892857142857143,32.8961362254978,0.278001261149734
"DE-Hzd","Hetzdorf","ICOS-2020",NA,50.96381,13.48978,395,"DBF",7.6,877,"Cfb","Rubel",NA,"Y",2010,2020,11,"c(2010, 2017)","c(2010, 2017)",NA,"precip missing in 2020 and low NEE QC in a couple other years",29129.17275,0.775118842,607.6466769,783.9400152,677.3,789.4,1.1655101136867,"P_F_sum","Fall",1.53118044640975,0.174830979627401,144.314,8,0.531895762344411,0.666666666666667,90.4274610352454,0.995199416468731
"DE-Lnf","Leinefelde","FLUXNET2015",NA,51.32822,10.3678,451,"DBF",6.96,894.6,"Cfb","Rubel",NA,"Y",2002,2012,11,"c(2002, 2007:2009)","2007:2009","2007:2009",NA,11948.0609,1.013801106,655.4900121,646.5666767,651.8,894.8,1.37281374654802,"P_F_sum","Fall",-0.694991862886135,0.192258252212224,86.487,7,-0.558781819168874,-0.571428571428571,36.3817307572476,0.461287637973455
"DE-RuR","Rollesbroich","ICOS-2020",NA,50.62191,6.30413,514.7,"GRA",7.7,1033,"Cfb","ICOS",NA,"Y",2011,2020,10,"c(2011)",NA,NA,"has precip for 2020 and spring 2011 have low NEE QC and very high",14744.65671,1.359535614,957.1266836,704.0100116,619.8,1108.4,1.78831881252017,"P_F_sum","Fall",0.118748871891858,0.662673810478525,201.9,9,0.169597311000789,0.15,37.6505365874108,0.260809895046094
"DE-RuW","Wustebach","ICOS-2020",NA,50.50493,6.3309627,610,"ENF",7.5,1250,"Cfb","ICOS",NA,"Y",2012,2020,9,NA,NA,NA,"has precip for 2020",27842.56968,1.359535614,957.1266836,704.0100116,579.3,1195.8,2.06421543241844,"P_F_sum","Fall",0.356901918463114,0.163441126728091,233.788,7,0.589720362247501,0.571428571428571,31.2093913110889,0.218583867992067
"ES-Abr","Albuera","ICOS-2020",NA,38.701839,-6.785881,279,"WSA",18.3,400,"Csa","Rubel","Luo et al. 2018","Y",2015,2020,6,"c(2015)","c(2015)","c(2015)","has precip for 2020",6194.13631,0.392040992,530.7333423,1353.77002,1342.8,562.3,0.418751861781352,"P_F_sum","Fall",0.92494715037742,0.0869709744885188,113.387,5,0.823010822176845,0.8,23.6806022541299,0.368568932427867
"ES-LM1","Majadas del Tietar North","ICOS-2020",NA,39.94269,-5.778683,266,"WSA",16.7,650,"Csa","Rubel","Luo et al 2018","Y",2014,2020,7,NA,NA,NA,"data looks great",21565.65711,0.355671858,459.6300065,1292.286687,1227.8,468.9,0.381902589998371,"P_F_sum","Fall",0.360065529682424,0.0495288845919324,265.813,7,0.755476421753783,0.75,23.6350240215495,0.139647608147296
"ES-LM2","Majadas del Tietar South","ICOS-2020",NA,39.934592,-5.775881,270,"WSA",16.7,650,"Csa","Rubel","Luo et al 2018","Y",2014,2020,7,NA,NA,NA,"data looks great",20644.31919,0.355671858,459.6300065,1292.286687,1227.8,468.9,0.381902589998371,"P_F_sum","Fall",0.295392190542867,0.0148231062612791,246.385,7,0.852399540379697,0.678571428571428,13.1650771485174,0.0810367448495662
"FI-Var","Varrio","ICOS-2020",NA,67.7549,29.61,395,"ENF",-0.5,601,"Dfc","ICOS","2016-2020","Y",2016,2020,5,NA,NA,NA,"data looks great",5919.055253,1.59143282,610.0333435,383.3233397,319.7,598.6,1.8723803565843,"P_F_sum","Fall",0.0132840368865168,0.973462113743997,124.856,5,0.0208443166499877,0.2,7.60816951813666,0.367864107396673
"FR-Bil","Bilos","ICOS-2020",NA,44.493652,-0.956092,39,"ENF",12.9,960.1,"Cfb","ICOS",NA,"Y",2014,2020,7,"c(2014)",NA,NA,"missing spring 2014 but otherwise all looks good",31660.10793,1.062938749,1013.476685,953.4666843,873.1,901.9,1.03298591226664,"P_F_sum","Fall",-0.0715309249112461,0.770474331946786,174.958,6,-0.154240239788386,0.257142857142857,67.9365254235969,0.22910668834845
"FR-Hes","Hesse","ICOS-2020",NA,48.6741,7.06465,310,"DBF",10,889,"Cfb","Rubel",NA,"Y",2014,2020,7,NA,NA,NA,"all looks good",16005.36597,0.988885927,728.7133483,736.9033459,709,796.3,1.12313117066291,"P_F_sum","Fall",0.0606945564445049,0.889478264370902,184.423,7,0.0652414357283112,0.0714285714285714,54.8396576292221,0.415159501797863
"IT-Cpz","Castelporziano","FLUXNET2015",NA,41.70525,12.37611,68,"EBF",15.6,780,"Csa","Rubel",NA,"Y",1997,2009,13,"c(1997:1999, 2009)","c(1997:1999, 2009)","c(1997:1999, 2009)",NA,11588.20093,0.65699953,686.2666798,1044.546682,1070.9,755.1,0.705107853207582,"P_F_sum","Fall",0.781755325567121,0.215713553915748,258.078,7,0.535229178335477,0.428571428571428,63.2728987938618,0.551762398252024
"IT-Lsn","Lison","ICOS-2020",NA,45.740482,12.750297,1,"OSH",13,1100,"Cfa","ICOS","2016-2020","Y",2016,2020,5,NA,NA,NA,"All looks good",1058.60587,1.397526117,1147.150017,820.8433485,820.5,968,1.17976843388178,"P_F_sum","Fall",-0.168264556432197,0.379392848713599,309.11,5,-0.510566099722877,-0.1,20.8287919379765,0.163605135849823
"IT-Ro1","Roccarespampani 1","FLUXNET2015",NA,42.40812,11.93001,235,"DBF",15.15,876.2,"Csa","Rubel",NA,"Y",2000,2008,9,"c(2000, 2007)",NA,"c(2007)",NA,22980.57349,0.610006961,639.5333432,1048.403353,1020.5,374,0.366487016168545,"P_F_sum","Fall",0.155141740625769,0.65797619501703,318.791,7,0.205798945332924,0.178571428571429,67.8811681505125,0.329915858877121
"IT-SR2","San Rossore 2","ICOS-2020",NA,43.73202,10.29091,4,"ENF",15.3,950,"Csa","ICOS",NA,"Y",2013,2020,8,NA,NA,NA,"all looks good",3846.86531,0.887029198,820.7533482,925.2833499,1052.3,870.8,0.827520669010738,"P_F_sum","Fall",0.230904268070541,0.125895638754396,371.579,8,0.58721350565657,0.690476190476191,34.4652733797543,0.129939357384693
"NL-Hor","Horstermeer","FLUXNET2015","CC-BY-4.0",52.24035,5.0713,2.2,"GRA",10,800,"Cfb","Rubel",NA,"Y",2004,2011,8,"c(2006)",NA,"c(2011)",NA,12213.64995,1.261728392,827.8200132,656.1000118,638.1,865.8,1.35684062059238,"P_F_sum","Fall",0.119985260002401,0.815119476034569,290.44,6,0.123887495679543,0.0857142857142857,33.5875468065835,0.480520351792702
"RU-Fy2","Fyodorovskoye dry spruce","ICOS-2020","CC-BY-4.0",56.4476,32.9019,276,"ENF",4.39,668.53,"Dfb","Rubel",NA,"Y",2015,2020,6,"c(2015)",NA,NA,"low NEE QC in 2015 otherwise good",23882.58277,1.321794661,747.906679,565.8266757,518.1,715.2,1.38042848870874,"P_F_sum","Fall",0.134125370765563,0.727464763759529,114.399,5,0.215733972878191,0.3,28.9072397845703,0.350495740600796
"SE-Htm","Hyltemossa","ICOS-2020",NA,56.09763,13.41897,115,"ENF",7.4,707,"Cfb","ICOS",NA,"Y",2015,2020,6,NA,NA,NA,"all looks good",19911.10449,1.378073862,819.8666817,594.9366751,532.3,901.9,1.69434529400714,"P_F_sum","Fall",0.467822075059733,0.176595055101301,249.5965,6,0.633804956461302,0.542857142857143,27.440238701527,0.285464047814304
"SE-Nor","Norunda","ICOS-2020",NA,60.0865,17.479504,45,"ENF",5.65,544.2,"Dfb","ICOS",NA,"Y",2014,2020,7,NA,NA,NA,"all looks good",22174.00016,1.094999503,584.2333442,533.5466753,508.9,607.6,1.1939477303989,"P_F_sum","Fall",0.0509602560120335,0.555820037554163,158.29,7,0.271543075656961,0.142857142857143,8.47978230132027,0.08077469795531
"SE-Ros","Rosinedal-3","ICOS-2020",NA,64.1725,19.738,157,"ENF",1.8,614,"Dfc","Rubel","http://www.europe-fluxdata.eu/home/site-details?id=SE-Ros","Y",2014,2020,7,"c(2014)","c(2014)",NA,"low NEE QC in early 2014 but otherwise good",8637.150719,1.441775963,653.3600102,453.1633394,406.9,635.5,1.56180879823052,"P_F_sum","Fall",-0.153237244814758,0.0962067597892638,134.405,6,-0.734747699610867,-0.542857142857143,10.7346544030119,0.0707365450150012
"SE-Svb","Svartberget","ICOS-2020",NA,64.25611,19.7745,267,"ENF",1.8,614,"Dfc","ICOS",NA,"Y",2014,2020,7,"c(2017)","c(2017)","c(2014, 2017)","2017 is flat",1364.576592,1.441775963,653.3600102,453.1633394,389.9,643.4,1.65016670941267,"P_F_sum","Fall",-0.0649055671901703,0.580911910677488,131.749,5,-0.335559233415253,-0.2,13.8714886927194,0.105199055562367
"US-Blo","Blodgett Forest","FLUXNET2015",NA,38.8953,-120.6328,1315,"ENF",11.09,1226,"Csa","AmeriFlux",NA,"Y",1997,2007,11,"1997:1999","c(2007)","c(1997)",NA,19082.02442,0.706953116,974.6833465,1378.710023,1237.1,1539.3,1.24428097971061,"P_F_sum","Fall",-0.517358988930439,0.226236190772418,223.261,7,-0.525061167782468,-0.607142857142857,67.117420034827,0.375024437542598
"US-Dk2","Duke Forest-hardwoods","OneFlux",NA,35.9736,-79.1004,168,"DBF",14.36,1168.69,"Cfa","AmeriFlux",NA,"Y",2001,2008,8,"c(2001)",NA,NA,"spring 2001 is too high but all others are good",28282.97478,1.064364985,1188.030023,1116.186684,1102.7,1156.4,1.0486986487712,"P_F_sum","Fall",0.229797287380184,0.268292176456073,253.179,7,0.486467707789008,0.5,33.3487194997717,0.184572713738862
"US-Dk3","Duke Forest - loblolly pine","OneFlux",NA,35.9782,-79.0942,163,"ENF",14.36,1169.69,"Cfa","AmeriFlux",NA,"Y",2001,2008,8,"c(2001)",NA,NA,"spring 2001 is too high but all others are good",28999.80188,1.064364985,1188.030023,1116.186684,1102.7,1156.4,1.0486986487712,"P_F_sum","Fall",0.240153527915262,0.185099598787739,254.805,7,0.566242886773169,0.75,28.232539522761,0.156334226829417
"US-Fmf","Flagstaff - Managed Forest","OneFlux",NA,35.1426,-111.7273,2160,"ENF",9.5,546,"Csb","AmeriFlux",NA,"Y",2005,2010,6,"c(2005)","c(2005)",NA,"looks good for 5 years",12119.17622,0.38625678,514.2700098,1331.420021,1142.4,547.9,0.479604341736695,"P_F_sum","Fall",0.321424484811256,0.212252592759398,166.32,5,0.673915815790676,0.6,23.3383009907302,0.203443750885679
"US-Fuf","Flagstaff - Unmanaged Forest","OneFlux",NA,35.089,-111.762,2180,"ENF",8.7,562,"Csb","AmeriFlux",NA,"Y",2005,2010,6,"c(2005)","c(2005)","c(2005)","2005 looks problematic other years are OK",17935.60939,0.38625678,514.2700098,1331.420021,1134.2,566.3,0.499294657026979,"P_F_sum","Fall",1.45618095402891,0.0929110082112299,158.972,5,0.814881097983908,0.9,49.4857935993387,0.598012065862006
"US-Ho1","Howland Forest (main tower)","OneFlux",NA,45.2041,-68.7402,60,"ENF",5.27,1070,"Dfb","AmeriFlux",NA,"Y",1996,2018,23,"c(1996:2011)","c(1996:2011)","c(1996:2011)","lots of NA data in GPP because R and GPP are not calculated for many years so using what is available",5161.237031,1.639192176,1139.02002,694.8666771,666,1091,1.63813813813814,"P_F_sum","Fall",-0.400279395025966,0.393751350763587,241.615,6,-0.430820008358034,-0.314285714285714,25.5054364821873,0.419232254915628
"US-IB2","Fermi National Accelerator Laboratory- Batavia (Prairie site)","FLUXNET2015",NA,41.84062,-88.24103,226.5,"GRA",9.04,930.25,"Dfa","AmeriFlux",NA,"Y",2004,2011,8,"c(2004)","c(2004)",NA,NA,10103.90047,1.031017524,976.5866873,947.2066814,869.5,934.9,1.07521564117309,"P_F_sum","Fall",-0.333383338008336,0.139100092793178,226.411,7,-0.618035509532487,-0.392857142857143,32.7215842998564,0.189649184469626
"US-KFS","Kansas Field Station","OneFlux",NA,39.0561,-95.1907,310,"GRA",12,1014,"Cfa","AmeriFlux",NA,"Y",2007,2019,13,"c(2007)",NA,NA,"mostly good years some with NEE qc less than 0.5",22158.76361,0.866527176,1014.660016,1170.950021,1117.8,1013.4,0.906602254428341,"P_F_sum","Fall",-0.517026502647716,0.555674382106144,134.227,9,-0.22772026718204,-0.233333333333333,76.7576136976766,0.835601348607605
"US-Los","Lost Creek","FLUXNET2015","CC-BY-4.0",46.0827,-89.9792,480,"WET",4.08,828,"Dfb","AmeriFlux",NA,"Y",2000,2014,15,"c(2000, 2007:2013)","c(2000, 2009, 2011:2013)","2007:2013",NA,25644.01648,1.197799238,813.8566813,679.4600092,631.6,829.3,1.31301456618113,"P_F_sum","Fall",0.056085001579351,0.715386903490229,201.729,7,0.170101120916915,0.285714285714286,16.232228029907,0.145304426762121
"US-Me3","Metolius-second young aged pine","FLUXNET2015",NA,44.3154,-121.6078,1005,"ENF",7.07,719,"Csb","AmeriFlux",NA,"Y",2004,2009,6,NA,NA,"c(2009)","mostly good aside from fall 2009",13454.4677,1.060001389,865.1766835,816.2033485,965.7,527.5,0.546235891063477,"P_F_sum","Fall",-0.312464727158119,0.271660629852582,110.396,5,-0.612936649205875,-0.7,16.4904921296134,0.232554347356591
"US-Prr","Poker Flat Research Range Black Spruce Forest","OneFlux",NA,65.12367,-147.48756,210,"ENF",-2,275,"Dwc","AmeriFlux",NA,"Y",2010,2016,7,"c(2010)","c(2010)","c(2010, 2012)","2010 looks off and low NEE QC",17894.5385,0.464981126,217.6266698,468.0333405,411,314.3,0.764720194647202,"P_F_sum","Fall",0.0599909511374247,0.487789445273468,73.767,5,0.414483355224592,0.3,5.8555605055905,0.0760477849330545
"US-SRC","Santa Rita Creosote","FLUXNET2015",NA,31.9083,-110.8395,950,"OSH",22,330,"Bwh","AmeriFlux",NA,"Y",2008,2014,7,NA,"c(2013)","c(2014)",NA,19527.70079,0.220645562,379.9766719,1722.113364,1795.3,381.5,0.212499303737537,"P_F_sum","Fall",0.34662290232304,0.69009161179585,52.037,6,0.20967843272327,0.0285714285714286,24.233000835584,0.808184250055432
"US-Syv","Sylvania Wilderness Area","FLUXNET2015",NA,46.242,-89.3477,540,"MF",3.81,826,"Dfb","AmeriFlux",NA,"Y",2001,2014,14,"c(2001, 2007:2013)","c(2001, 2007:2011)","2007:2011",NA,7565.460303,1.197430951,814.7400141,680.4066766,636.7,823.6,1.29354484058426,"P_F_sum","Fall",0.156920637532594,0.702624777494374,182.085,5,0.235760583398246,0.1,30.7804626344433,0.373447988813151
"US-Tw1","Twitchell Wetland West Pond","OneFlux",NA,38.1074,-121.6469,-5,"WET",15.5,421,"Csa","AmeriFlux",NA,"Y",2011,2017,7,"c(2012)",NA,NA,"spring 2012 is bad gap fill but all other years look good",18238.41343,0.324577311,464.7633411,1431.903356,1312.7,377.1,0.287270511160204,"P_F_sum","Fall",-1.65126720118736,0.0640953767174884,68.661,6,-0.785474585448713,-0.6,40.8717550365316,0.650536146281084
"US-Whs","Walnut Gulch Lucky Hills Shrub","FLUXNET2015",NA,31.7438,-110.0522,1370,"OSH",17.6,320,"Bsk","AmeriFlux",NA,"Y",2007,2014,8,"c(2007)",NA,NA,NA,18716.30433,0.189459512,334.4566719,1765.32003,1751,352.2,0.201142204454597,"P_F_sum","Fall",0.728263213621432,0.00369680042443704,59.943,7,0.91651059237073,0.464285714285714,16.6517929570568,0.142146831723121
