"SITE_ID","SITE_NAME","SOURCE","FLUXNET-CH4","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","IGBP","MAT","MAP","Climate","Climate Source","Notes1","Keep","START","END","Duration","SPRING","SUMMER","FALL","Notes2","min_dist_m","CRU_Aridity_P_PET","CRU_P_Annual_Mean_Total_mm","CRU_PET_Annual_Mean_Total_mm","PET","PPT","TC_aridity","Met_Var","Season","Slope","pvalue","Met_Var_Median","Npts","PearsonR","SpearmanR","RMSE","Slope_SE"
"DE-Tha","Tharandt","ICOS-2020",NA,50.96256,13.56515,385,"ENF",8.2,843,"Cfb","Rubel",NA,"Y",1996,2020,25,"c(1996)",NA,NA,"missing precip in 2020",26962.96214,0.705067769,573.8100118,813.8366796,677.5,764.9,1.1290036900369,"P_F_sum","Spring",-0.348915904172732,0.265329224053131,184.283,23,-0.242290413734042,-0.221343873517787,61.7698359094084,0.304886254285636
"DK-Sor","Soroe","ICOS-2020",NA,55.48587,11.64464,40,"DBF",8.2,660,"Cfb","ICOS",NA,"Y",1996,2020,25,"c(1996)",NA,NA,"has precip for 2020",27059.46431,0.943154051,590.5433431,626.1366766,639.4,641.7,1.00359712230216,"P_F_sum","Spring",-0.295974875198181,0.476783352169638,144.248,24,-0.152520370651463,-0.0443478260869565,81.1522901567041,0.408888214349026
"ES-Agu","Aguamarga","ICOS-2020",NA,36.940046,-2.033208,202,"OSH",18.1,271,"Bsh","Rubel","Gilabert et al. 2015","Y",2006,2020,15,"c(2006, 2016, 2020)","c(2014, 2017, 2020)","c(2014, 2015, 2020)","missing gpp in 2020 and various low NEE QC through different seasons and years",28613.28777,0.219701419,273.0866711,1242.990021,1298.9,248.5,0.19131572869351,"P_F_sum","Spring",1.40708356562583,0.146571593926381,76.108,11,0.468014365367308,0.654545454545455,60.4775697462177,0.885634563857329
"ES-LJu","Llano de los Juanes","ICOS-2020",NA,36.92659,-2.75212,1600,"OSH",16,400,"Csb","Rubel",NA,"Y",2004,2020,17,"c(2004, 2005)","c(2004)","c(2004, 2019)","looks like 2004 data is missing for GPP",19636.84925,0.25403504,321.6066723,1265.993354,1190.6,520.9,0.437510498908114,"P_F_sum","Spring",0.0177068795360037,0.757104143156869,145.388,15,0.0872763844714351,0.246428571428571,22.6337096133416,0.0560548546965962
"FI-Hyy","Hyytiala","ICOS-2020","CC-BY-4.0",61.84741,24.29477,181,"ENF",3.8,709,"Dfc","Rubel",NA,"Y",1996,2020,25,"c(1996)",NA,NA,"precip missing in 2020",11084.05187,1.157886911,570.8266778,492.9900083,447.4,676.6,1.51229324988824,"P_F_sum","Spring",0.034196068201689,0.776616122052855,100.5645,22,0.0641754913457412,0.012987012987013,21.0906828039516,0.118903820201128
"FI-Let","Lettosuo","ICOS-2020",NA,60.64183,23.95952,125,"ENF",4.6,627,"Dfb","ICOS",NA,"Y",2009,2020,12,"c(2009)","c(2009)",NA,"has 2020 precip",16573.9979,1.142867559,574.6833436,502.8433427,478.1,679.1,1.4204141393014,"P_F_sum","Spring",0.301129455316241,0.498584404937547,96.854,11,0.228800849551038,0.2,70.8283229399666,0.42706932039004
"FI-Sod","Sodankyla","FLUXNET2015",NA,67.36239,26.63859,180,"ENF",-1,500,"Dfc","Rubel",NA,"Y",2001,2014,14,"c(2002)",NA,NA,NA,13379.96913,1.177895219,480.6833421,408.0866738,351.7,534.1,1.51862382712539,"P_F_sum","Spring",-0.185585450136218,0.228610538456131,103.099,13,-0.358804673938888,-0.384615384615385,9.88162138689407,0.145567083337251
"FR-FBn","Font-Blanche","ICOS-2020",NA,43.24079,5.67865,436,"MF",13.9,700,"Csa","Rubel","http://www.europe-fluxdata.eu/home/site-details?id=FR-FBn","Y",2008,2020,13,"c(2017)",NA,NA,"mising 2020 precip and spring 2017 has low NEE QC",5869.202717,0.521971762,667.2800115,1278.383353,1221.6,639.2,0.52324819908317,"P_F_sum","Spring",-0.0993022375493199,0.597316292179316,148.376,11,-0.17955025875291,-0.0636363636363636,40.1071300871773,0.181357683841903
"FR-Fon","Fontainebleau-Barbeau","ICOS-2020",NA,48.47636,2.7801,103,"DBF",10.2,720,"Cfb","Rubel",NA,"Y",2005,2020,16,"c(2014)",NA,"c(2017)","some low NEE QC",25268.16443,0.739644502,624.3166765,844.0766817,779.7,627,0.804155444401693,"P_F_sum","Spring",-0.697232084868067,0.155722443005035,167.449,15,-0.38563553961535,-0.464285714285714,104.454632768612,0.462664509144763
"FR-Pue","Puechabon","FLUXNET2015",NA,43.7413,3.5957,270,"EBF",13.5,883,"Csa","Rubel",NA,"Y",2000,2014,15,"c(2000)","c(2000)",NA,NA,12432.48406,0.660380871,744.870012,1127.940018,1156.8,639.8,0.553077455048409,"P_F_sum","Spring",0.144305097517865,0.419755209338683,199.878,14,0.234467637114916,0.353846153846154,59.5184240241886,0.172714887839291
"IL-Yat","Yatir","ICOS-2020",NA,31.34504459,35.05198851,657,"ENF",18.2,285,"Csa","Rubel","https://www.weizmann.ac.il/EPS/Yakir/biosphere-atmosphere-fluxes; http://www.europe-fluxdata.eu/home/site-details?id=IL-Yat","Y",2000,2020,21,"c(2000)","c(2000, 2011)","c(2003)","few years with low NEE QC",21579.04634,0.125596217,208.1100041,1656.976696,1586.7,274.5,0.173000567214974,"P_F_sum","Spring",0.580005544212062,0.134983828809923,44.3865,20,0.346087696326098,0.366917293233083,55.4387533017448,0.370600639265743
"IT-Col","Collelongo","FLUXNET2015",NA,41.84936,13.58814,1560,"DBF",6.3,1180,"Cfb","Rubel",NA,"Y",1996,2014,19,"c(1996, 2003, 2004, 2006)","c(2002)",NA,NA,17380.62894,0.673325276,743.1266783,1103.66669,792.1,785.2,0.99128897866431,"P_F_sum","Spring",0.0886411870854676,0.545852389474687,299.628,10,0.217628024309692,0.0424242424242424,45.7516658822597,0.140552867716699
"IT-Lav","Lavarone","ICOS-2020",NA,45.9562,11.28132,1353,"ENF",7.8,1291,"Dfb","Rubel",NA,"Y",2003,2020,18,NA,NA,NA,"missing precip in 2020",23056.38013,1.581525886,1043.44335,659.7700101,666.9,576.5,0.864447443394812,"P_F_sum","Spring",-0.186665389027717,0.148023557620456,247.934,17,-0.366408847478864,-0.208333333333333,53.9750251168646,0.122390329272437
"IT-MBo","Monte Bondone","ICOS-2020",NA,46.01468,11.04583,1550,"GRA",5.1,1214,"Dfb","Rubel",NA,"Y",2003,2020,18,NA,NA,"c(2020)","missing precip in 2020 and low QC in NEE fall 2020",30532.00627,2.304318913,1305.043357,566.3466763,638.4,406.9,0.637374686716792,"P_F_sum","Spring",-0.21774306759181,0.200011887241328,260.7405,16,-0.338273235219278,-0.314705882352941,78.6262082220942,0.161891642316718
"IT-Noe","Arca di Noe - Le Prigionette","FLUXNET2015",NA,40.60618,8.15169,25,"CSH",15.9,588,"Csa","Rubel",NA,"Y",2004,2014,11,NA,"c(2011)","c(2014)",NA,18013.22316,0.49081208,569.093344,1159.493353,1134.3,743.8,0.655734814422992,"P_F_sum","Spring",-0.393890785578417,0.594079157672832,142.5945,10,-0.192544732359709,-0.284848484848485,75.167045988432,0.709734246244697
"IT-Ren","Renon","ICOS-2020",NA,46.58686,11.43369,1730,"ENF",4.7,809.3,"Dfc","Rubel",NA,"Y",1999,2020,22,NA,NA,"c(2000)","few low NEE QC",22924.43225,2.926349961,1553.170025,530.753343,518.1,686,1.32406871260374,"P_F_sum","Spring",-0.287136154995622,0.337996433908478,212.543,21,-0.219974846533911,-0.162337662337662,75.7550227248315,0.29212437665011
"IT-SRo","San Rossore","FLUXNET2015",NA,43.72786,10.28444,6,"ENF",14.2,920,"Csa","Rubel",NA,"Y",1999,2012,14,NA,"c(2005)","c(2008)",NA,3703.538234,0.887029198,820.7533482,925.2833499,1052.3,870.8,0.827520669010738,"P_F_sum","Spring",0.639342186927166,0.111216292634918,192.605,14,0.444581491933879,0.287912087912088,97.3186902558884,0.371854085396829
"IT-Tor","Torgnon","ICOS-2020",NA,45.84444,7.57806,2160,"GRA",3.27,945,"Dfc","ICOS",NA,"Y",2008,2020,13,"c(2008)",NA,NA,"missing 2020 precip",16969.29104,2.565927121,1725.936694,672.6366776,436.6,1222.7,2.80050389372423,"P_F_sum","Spring",-0.350058944621331,0.0502494261107579,236.862,11,-0.601551806792556,-0.681818181818182,39.1336891450859,0.154954186949857
"NL-Loo","Loobos","ICOS-2018",NA,52.16658,5.74356,25,"ENF",9.8,786,"Cfb","Rubel",NA,"Y",1996,2018,23,"c(1996, 2016)","c(1996)","c(1996, 2018)","low NEE QC values in a few years",9286.269219,1.224990378,795.8966792,649.716678,642.2,862.3,1.34272812208035,"P_F_sum","Spring",-0.158265630723809,0.518327399874489,157.216,21,-0.149301311177229,-0.163636363636364,61.2455774897374,0.240464529502796
"RU-Fyo","Fyodorovskoye","ICOS-2020",NA,56.46153,32.92208,265,"ENF",3.9,711,"Dfb","Rubel",NA,"Y",1998,2020,23,"c(1998)","c(1998)",NA,"low NEE QC in 1998 otherwise good",25799.71662,1.321794661,747.906679,565.8266757,517,709.1,1.3715667311412,"P_F_sum","Spring",-0.099183110393346,0.650724505660564,103.6085,20,-0.107889859717701,-0.0932330827067669,42.8703073692022,0.215416206844768
"SE-Deg","Degero","ICOS-2020","CC-BY-4.0",64.182029,19.556539,270,"WET",1.2,523,"Dfc","ICOS",NA,"Y",2001,2020,20,NA,NA,NA,"almost all years look good and some low NEE QC but not really much",12028.3727,1.441775963,653.3600102,453.1633394,403.5,627.6,1.55539033457249,"P_F_sum","Spring",-0.25048618984836,0.0503169694381085,73.882,20,-0.443215911783644,-0.454135338345865,12.5427812359675,0.119410152408313
"US-Bar","Bartlett Experimental Forest","OneFlux",NA,44.0646,-71.2881,272,"DBF",5.61,1245.77,"Dfb","AmeriFlux",NA,"Y",2004,2017,14,NA,NA,NA,"all spring summer fall data for GPP looks good",20838.42167,2.349836207,1492.083358,634.9733454,658.2,1267,1.92494682467335,"P_F_sum","Spring",-0.0862239866808769,0.617070059938799,292.105,13,-0.153299042772896,-0.28021978021978,41.5999007592282,0.167582360989968
"US-Ha1","Harvard Forest EMS Tower (HFR1)","FLUXNET2015",NA,42.5378,-72.1715,340,"DBF",6.62,1071,"Dfb","AmeriFlux",NA,"Y",1991,2012,22,"c(1991)","c(1991)","c(1991)",NA,24453.58714,1.247525717,1151.250021,922.826684,697.1,1119.1,1.60536508391909,"P_F_sum","Spring",-0.163436538076609,0.440810398800848,297.889,21,-0.177745694492967,-0.309090909090909,68.955207382396,0.207587933237921
"US-Me2","Metolius mature ponderosa pine","OneFlux",NA,44.4523,-121.5574,1253,"ENF",6.28,523,"Csb","AmeriFlux",NA,"Y",2002,2017,16,"c(2002, 2003, 2006)","c(2002)","c(2002)","2002 GPP missing in Oneflux and Couple years of low NEE QC in spring but otherwise looks good",27212.74495,1.060001389,865.1766835,816.2033485,918.6,808.1,0.87970825168735,"P_F_sum","Spring",-0.443170387478711,0.450512178908448,109.7535,12,-0.240997955939674,-0.216783216783217,88.9566951059733,0.564370597718671
"US-MMS","Morgan Monroe State Forest","OneFlux",NA,39.3232,-86.4131,275,"DBF",10.85,1032,"Cfa","AmeriFlux",NA,"Y",1999,2017,19,NA,NA,NA,"all years look good",16226.15607,1.216156073,1169.480023,961.6200165,921.6,1133.4,1.22981770833333,"P_F_sum","Spring",-0.100549477437993,0.525349944489912,300.432,19,-0.155365168395152,-0.114035087719298,58.7209971846484,0.15505858837023
"US-NR1","Niwot Ridge Forest (LTER NWT1)","FLUXNET2015",NA,40.0329,-105.5464,3050,"ENF",1.5,800,"Dfc","AmeriFlux",NA,"Y",1998,2014,17,"c(1998, 1999)","c(1998)","c(1998)",NA,29703.26446,0.399631432,426.4866734,1067.200022,713.5,574.1,0.804625087596356,"P_F_sum","Spring",-0.305729773186445,0.00996622735885378,233.338,15,-0.641365206305982,-0.5,28.1923403920935,0.101435385505819
"US-Oho","Oak Openings","FLUXNET2015",NA,41.5545,-83.8438,230,"DBF",10.1,849,"Dfa","AmeriFlux",NA,"Y",2004,2013,10,NA,NA,NA,NA,23093.37022,0.981707537,907.1566823,924.0600164,851.4,872.5,1.02478271082922,"P_F_sum","Spring",-0.155669407733184,0.609626888673243,201.586,10,-0.184621467350832,-0.0787878787878788,52.037631460923,0.292985088217431
"US-PFa","Park Falls/WLEF","FLUXNET2015","CC-BY-4.0",45.9459,-90.2723,470,"MF",4.33,823,"Dfb","AmeriFlux",NA,"Y",1995,2014,20,"c(1995, 1996)","c(1995)","c(1995)",NA,21851.49122,1.168062271,830.9166817,711.3633429,638.6,822.6,1.28813028499843,"P_F_sum","Spring",0.0371179505452611,0.833999040083376,170.4385,18,0.0531805468601614,0.0918472652218782,46.8162692609896,0.17424334471102
"US-Seg","Sevilleta grassland","OneFlux",NA,34.3623,-106.702,1622,"GRA",13.667,273.304,"Bsk","AmeriFlux",NA,"Y",2007,2021,15,NA,NA,NA,"all looks good with GPP",13242.67672,0.213261344,330.0766722,1547.756695,1572.7,252.7,0.160679086920582,"P_F_sum","Spring",0.564639633642518,0.562691758887974,24.329,11,0.196418881033645,0.3,48.9478466398078,0.939557498501029
"US-Ses","Sevilleta shrubland","OneFlux",NA,34.3349,-106.7442,1604,"OSH",13.722,275.082,"Bsk","AmeriFlux",NA,"Y",2007,2021,15,NA,NA,NA,"all looks good with GPP",9455.488583,0.213261344,330.0766722,1547.756695,1572.6,245.5,0.156110899147908,"P_F_sum","Spring",0.678164442796314,0.395735031103941,26.18,11,0.284932811313651,0.263636363636364,36.495421430787,0.760474983932649
"US-SRG","Santa Rita Grassland","OneFlux",NA,31.789379,-110.827675,1291,"GRA",17,420,"Bsk","AmeriFlux",NA,"Y",2008,2017,10,NA,NA,NA,"all years look good",8549.448698,0.220645562,379.9766719,1722.113364,1658.9,547.5,0.330037976972693,"P_F_sum","Spring",-0.05435746696229,0.949841541356393,25.018,10,-0.0229416519179344,0.115151515151515,32.4946954103251,0.837481480341044
"US-SRM","Santa Rita Mesquite","FLUXNET2015",NA,31.8214,-110.8661,1120,"WSA",17.92,380,"Bsk","AmeriFlux",NA,"Y",2004,2014,11,NA,NA,NA,NA,13544.47613,0.220645562,379.9766719,1722.113364,1754.2,457.9,0.261030669250941,"P_F_sum","Spring",1.00482888263586,0.221839578787053,22.83,11,0.400814534171948,0.545454545454545,27.4195216173692,0.765593695602549
"US-Ton","Tonzi Ranch","FLUXNET2015",NA,38.43093184,-120.9659907,177,"WSA",15.8,559,"Csa","AmeriFlux",NA,"Y",2001,2014,14,"c(2001)",NA,NA,NA,27561.12133,0.548290201,783.6766793,1429.310022,1406.4,628.2,0.446672354948805,"P_F_sum","Spring",0.157725809722674,0.34478923861575,166.665,13,0.285267125683302,0.313186813186813,60.8945136883094,0.159780315924409
"US-Uaf","University of Alaska, Fairbanks","OneFlux",NA,64.8663,-147.8555,155,"ENF",-2.9,263,"Dwc","AmeriFlux",NA,"Y",2003,2020,18,"c(2014)","c(2014, 2004, 2006)","c(2005, 2014)","GPP fall 2005 has a lot problems and 2014 is flat; otherwise looks mostly good",13862.52898,0.529238465,277.2433378,523.853341,433.1,293.5,0.677672592934657,"P_F_sum","Spring",0.836657709987376,0.120503865191955,24.783,13,0.452521001145819,0.483516483516484,24.875777536558,0.497115927458957
"US-UMB","Univ. of Mich. Biological Station","OneFlux",NA,45.5598,-84.7138,234,"DBF",5.83,803,"Dfb","AmeriFlux",NA,"Y",2000,2017,18,NA,NA,NA,"all years look good",21335.63674,1.27971279,856.0766833,668.9600119,708.4,810.4,1.14398644833427,"P_F_sum","Spring",-0.9540248267439,0.0330871335532203,144.879,11,-0.642308676261804,-0.572727272727273,41.8037449672709,0.379468936334975
"US-UMd","UMBS Disturbance","OneFlux",NA,45.5625,-84.6975,239,"DBF",5.83,803,"Dfb","AmeriFlux",NA,"Y",2007,2017,11,"c(2007)",NA,NA,"spring 2007 is bad gap fill but other years look good",21244.61006,1.27971279,856.0766833,668.9600119,710,797.7,1.12352112676056,"P_F_sum","Spring",-0.65664918636182,0.0791344601123427,191.4475,10,-0.579494080744643,-0.309090909090909,40.7620409200817,0.326500966259657
"US-Var","Vaira Ranch- Ione","FLUXNET2015",NA,38.41329154,-120.9507564,129,"GRA",15.8,559,"Csa","AmeriFlux",NA,"Y",2000,2014,15,"c(2000)","c(2000)","c(2000)",NA,25225.37791,0.548290201,783.6766793,1429.310022,1407.9,645.4,0.458413239576674,"P_F_sum","Spring",0.353409594423512,0.240514038473589,148.6805,14,0.335778327840926,0.358241758241758,118.572877152188,0.286192842356719
"US-Vcp","Valles Caldera Ponderosa Pine","OneFlux",NA,35.8624,-106.5974,2542,"ENF",9.8,550,"Dfb","AmeriFlux",NA,"Y",2007,2021,15,NA,NA,NA,"looks good overall but only up through 2017",18589.86388,0.385082667,517.9066755,1344.923361,962.6,602.1,0.625493455225431,"P_F_sum","Spring",0.82882714590028,0.00671875731353971,72.728,11,0.759297951229203,0.809090909090909,29.9743507150286,0.236777306497298
"US-WCr","Willow Creek","FLUXNET2015",NA,45.8059,-90.0799,520,"DBF",4.02,787,"Dfb","AmeriFlux",NA,"Y",1999,2014,16,"2007:2010","2007:2010","2007:2010",NA,14582.67409,1.168062271,830.9166817,711.3633429,634.4,815.5,1.28546658259773,"P_F_sum","Spring",-0.188901715856189,0.249409448770762,222.6835,12,-0.360681041161756,-0.48951048951049,39.3760330791123,0.154471920740358
"US-Wjs","Willard Juniper Savannah","OneFlux",NA,34.4255,-105.8615,1931,"SAV",15.2,361,"Bsk","AmeriFlux",NA,"Y",2007,2021,15,"c(2007)",NA,NA,"mostly looks good but ends in 2017 too",22037.07639,0.24341489,362.9600059,1491.116692,1462.2,341.7,0.233688961838326,"P_F_sum","Spring",2.11844132783953,0.0177858963097482,47.8285,10,0.72451835931267,0.660606060606061,44.8014859859442,0.712528587422916
